작성일,평점,리뷰번역,연도,월,문장_번호,aspect,predicate,대분류,소분류,감성
1달 전,별표 5개,도시의 역사적이고 전통적인 가옥들은 볼거리입니다!,2026,1.0,1,가옥,역사적이다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,도시의 역사적이고 전통적인 가옥들은 볼거리입니다!,2026,1.0,1,가옥,전통적이다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,남산타워를 배경으로 가옥들을 사진에 담을 수 있는 멋진 사진 명소이기도 합니다.,2026,1.0,2,사진 명소,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,이 지역에는 작은 상점들도 많습니다.,2026,1.0,3,상점,작다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,이 지역에는 작은 상점들도 많습니다.,2026,1.0,3,상점,많다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,이 가옥들은 개인 주택이기 때문에 일부 구역은 출입이 금지되어 있습니다.,2026,1.0,4,출입,금지되다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,"이곳은 오후 5시까지 관광객에게 개방되는 주거 지역이므로, 거리를 거닐며 구경할 시간을 가지려면 최소한 오후 3시 30분까지는 도착하는 것이 좋습니다.",2026,1.0,1,이곳,개방되다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,"이곳은 오후 5시까지 관광객에게 개방되는 주거 지역이므로, 거리를 거닐며 구경할 시간을 가지려면 최소한 오후 3시 30분까지는 도착하는 것이 좋습니다.",2026,1.0,1,도착,좋다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,일본 교토와 정말 비슷해요.,2026,1.0,1,교토,비슷하다,2. 시각적 요소,볼거리 및 경관,중립
1달 전,별표 5개,삶의 속도가 아주 느긋하답니다!,2026,1.0,2,속도,느긋하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,주변 주민들에게 피해를 주지 않도록 조용히 해 주세요.,2026,1.0,3,주민,조용하다,3. 시설 및 환경,공간 관리 상태,중립
1달 전,별표 5개,꼭 한번 방문해 볼 만한 곳이에요!,2026,1.0,4,곳,방문하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,집이 참 좋아요!,2026,1.0,1,집,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,서울의 전통을 느끼며 산책하기에 아름다운 곳입니다.,2026,1.0,1,곳,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"한옥과 좁은 골목길, 그리고 탁 트인 도시 전망은 마치 시간 여행을 떠난 듯한 느낌을 주는데, 특히 이른 아침의 고요함은 더욱 특별합니다.",2026,1.0,2,골목길,좁다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"한옥과 좁은 골목길, 그리고 탁 트인 도시 전망은 마치 시간 여행을 떠난 듯한 느낌을 주는데, 특히 이른 아침의 고요함은 더욱 특별합니다.",2026,1.0,2,도시 전망,탁 트이다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"한옥과 좁은 골목길, 그리고 탁 트인 도시 전망은 마치 시간 여행을 떠난 듯한 느낌을 주는데, 특히 이른 아침의 고요함은 더욱 특별합니다.",2026,1.0,2,고요함,특별하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"낮에는 다소 붐빌 수 있지만, 평일이나 정오 전에 방문하면 매우 한적하고 사진 찍기에도 좋습니다.",2026,1.0,3,낮,붐비다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,"낮에는 다소 붐빌 수 있지만, 평일이나 정오 전에 방문하면 매우 한적하고 사진 찍기에도 좋습니다.",2026,1.0,3,방문,한적하다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,"낮에는 다소 붐빌 수 있지만, 평일이나 정오 전에 방문하면 매우 한적하고 사진 찍기에도 좋습니다.",2026,1.0,3,사진,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"길을 따라 작은 카페, 갤러리, 숨겨진 전망대들이 있어 천천히 둘러보는 재미가 쏠쏠합니다.",2026,1.0,4,카페,작다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"길을 따라 작은 카페, 갤러리, 숨겨진 전망대들이 있어 천천히 둘러보는 재미가 쏠쏠합니다.",2026,1.0,4,전망대,숨겨지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"길을 따라 작은 카페, 갤러리, 숨겨진 전망대들이 있어 천천히 둘러보는 재미가 쏠쏠합니다.",2026,1.0,4,재미,쏠쏠하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"다만, 이곳에는 실제로 사람들이 살고 있으니 예의를 지키고 소음을 줄여주세요.",2026,1.0,5,소음,줄이다,3. 시설 및 환경,공간 관리 상태,중립
1달 전,별표 5개,"역사, 문화, 그리고 멋진 전망을 한 번에 즐기고 싶다면 꼭 방문해야 할 곳입니다.",2026,1.0,6,전망,멋지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"역사, 문화, 그리고 멋진 전망을 한 번에 즐기고 싶다면 꼭 방문해야 할 곳입니다.",2026,1.0,6,곳,방문하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,조용하고 매력적인 곳입니다.,2026,1.0,1,곳,조용하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,조용하고 매력적인 곳입니다.,2026,1.0,1,곳,매력적이다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,경복궁 근처에 있다면 경복궁 관람 후 꼭 방문해 보세요.,2026,1.0,2,경복궁,방문하다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,특히 한복 사진 찍기에 정말 좋은 곳이에요!,2026,1.0,1,곳,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,오후 5시에 문을 닫으니 그 전에 방문하세요.,2026,1.0,2,문,닫다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,오후 5시에 문을 닫으니 그 전에 방문하세요.,2026,1.0,2,방문,방문하다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,그곳은 정말 훌륭하고 깨끗하고 멋졌어요.,2026,1.0,1,그곳,훌륭하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,그곳은 정말 훌륭하고 깨끗하고 멋졌어요.,2026,1.0,1,그곳,깨끗하다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,그곳은 정말 훌륭하고 깨끗하고 멋졌어요.,2026,1.0,1,그곳,멋졌어요,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,이곳은 한국 문화와 도시의 분위기를 느낄 수 있는 아름다운 사진 명소입니다.,2026,1.0,1,사진 명소,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,경복궁과 창덕궁 사이에 위치한 북촌 한옥마을은 서울에서 가장 대표적인 전통 한옥 마을입니다.,2026,1.0,1,북촌 한옥마을,대표적이다,1. 전반적 인식,종합 만족도,중립
