작성일,평점,리뷰번역,연도,월,문장_번호,aspect,predicate,대분류,소분류,감성
1달 전,별표 5개,"궁궐은 조선 시대인 15세기에 건립되었으나, 16세기 일제강점기에 소실되었다가 곧바로 재건되어 이후 250년간 왕의 주요 거주지로 사용되었습니다.",2026,1.0,1,,,,,중립
1달 전,별표 5개,"궁궐과 주변 환경은 베이징의 자금성과 유사한 규모에도 불구하고, 유교 건축 원리에 따라 문, 안뜰, 주거 공간으로 구성되어 있습니다.",2026,1.0,2,규모,유사하다,2. 시각적 요소,볼거리 및 경관,중립
1달 전,별표 5개,"이 궁궐은 한국 건축과 정원 디자인에 중요한 영향을 미쳤으며, 서울 곳곳에서 그 흔적을 찾아볼 수 있습니다.",2026,1.0,3,영향,중요하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"이 궁궐은 한국 건축과 정원 디자인에 중요한 영향을 미쳤으며, 서울 곳곳에서 그 흔적을 찾아볼 수 있습니다.",2026,1.0,3,흔적,찾아보다,1. 전반적 인식,종합 만족도,중립
1달 전,별표 5개,서울 한복판에 자리한 아름답고 인상적인 궁궐입니다.,2026,1.0,1,궁궐,아름답다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,서울 한복판에 자리한 아름답고 인상적인 궁궐입니다.,2026,1.0,1,궁궐,인상적이다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,건축 양식이 훌륭하고 주변 환경도 매우 잘 관리되어 있으며 조용합니다.,2026,1.0,2,양식,훌륭하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,건축 양식이 훌륭하고 주변 환경도 매우 잘 관리되어 있으며 조용합니다.,2026,1.0,2,환경,관리되다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,건축 양식이 훌륭하고 주변 환경도 매우 잘 관리되어 있으며 조용합니다.,2026,1.0,2,환경,조용하다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 5개,특히 겨울에는 호수가 얼어붙어 더욱 아름답습니다.,2026,1.0,3,호수,얼어붙다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,특히 겨울에는 호수가 얼어붙어 더욱 아름답습니다.,2026,1.0,3,호수,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,산책하고 사진을 찍으며 한국의 역사와 문화를 체험하기에 완벽한 장소입니다.,2026,1.0,4,장소,완벽하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,서울을 방문한다면 꼭 가봐야 할 곳입니다.,2026,1.0,5,곳,가보다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,웅장하고 거대한 다양한 궁전과 정원들,2026,1.0,1,궁전,웅장하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,웅장하고 거대한 다양한 궁전과 정원들,2026,1.0,1,궁전,거대하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,웅장하고 거대한 다양한 궁전과 정원들,2026,1.0,1,정원,웅장하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,웅장하고 거대한 다양한 궁전과 정원들,2026,1.0,1,정원,거대하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,아름다운 역사 유적지이면서 활기 넘치는 곳입니다.,2026,1.0,1,유적지,아름답다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 4개,아름다운 역사 유적지이면서 활기 넘치는 곳입니다.,2026,1.0,1,곳,활기차다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 4개,자연과 역사적인 건물들이 조화롭게 어우러져 있어요.,2026,1.0,2,건물,조화롭다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,자연과 역사적인 건물들이 조화롭게 어우러져 있어요.,2026,1.0,2,건물,어우러지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,겨울에 방문했는데도 사람들이 많았습니다.,2026,1.0,3,사람,많다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 4개,한복을 입고 오면 무료로 입장할 수 있어요.,2026,1.0,4,입장,무료하다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 4개,티켓은 미리 구매할 필요 없이 현장에서 구입할 수 있습니다.,2026,1.0,5,티켓,구입하다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 4개,꼭 가봐야 할 곳이에요.,2026,1.0,1,곳,가보다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 4개,하지만 봄에 가면 훨씬 더 활기찬 것 같아요.,2026,1.0,2,봄,활기차다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,"저희는 1월에 꽁꽁 얼어붙는 날씨에 갔었는데, 그다지 즐겁지는 않았어요.",2026,1.0,3,날씨,얼어붙다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 4개,"한 시간마다 근위병 교대식이 있는데, 정말 재미있고 꼭 볼 만해요.",2026,1.0,4,교대식,재미있다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,"한 시간마다 근위병 교대식이 있는데, 정말 재미있고 꼭 볼 만해요.",2026,1.0,4,교대식,볼만하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,주변에도 볼거리가 많아요.,2026,1.0,5,볼거리,많다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,근처 여러 곳에서 한복을 대여할 수도 있어요.,2026,1.0,6,한복,대여하다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,정문에서 10시에 시작되는 경비 교대식을 보려면 9시 30분쯤 가는 것을 추천합니다.,2026,1.0,1,교대식,시작되다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,정문에서 10시에 시작되는 경비 교대식을 보려면 9시 30분쯤 가는 것을 추천합니다.,2026,1.0,1,교대식,추천하다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,조금 일찍 시작하네요.,2026,1.0,2,,,,,중립
1달 전,별표 5개,많이 걸어야 해요.,2026,1.0,1,,,,,중립
1달 전,별표 5개,장소가 워낙 넓어서 반나절은 족히 걸릴 거예요.,2026,1.0,2,장소,넓다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,"한복을 입으면 입장료가 무료지만, 그렇지 않으면 입장료를 내야 합니다.",2026,1.0,3,입장료,무료하다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,"한복을 입으면 입장료가 무료지만, 그렇지 않으면 입장료를 내야 합니다.",2026,1.0,3,입장료,내다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,1월 중순에 갔는데 날씨가 춥고 호수가 얼어 있었어요.,2026,1.0,4,날씨,춥다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,1월 중순에 갔는데 날씨가 춥고 호수가 얼어 있었어요.,2026,1.0,4,호수,얼다,2. 시각적 요소,볼거리 및 경관,중립
1달 전,별표 5개,예쁜 사진 찍을 곳이 많아요.,2026,1.0,5,사진,예쁘다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,예쁜 사진 찍을 곳이 많아요.,2026,1.0,5,곳,많다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,정말 아름다운 곳입니다.,2026,1.0,6,곳,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,한복 문화를 배우기에 아주 좋은 곳이에요.,2026,1.0,7,문화,배우다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,한복 문화를 배우기에 아주 좋은 곳이에요.,2026,1.0,7,곳,좋다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,서울에 오시면 꼭 방문해야 할 곳입니다.,2026,1.0,1,곳,방문하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"한국에서 꼭 가봐야 할 곳이며, 전통 한복을 입으면 더욱 좋습니다.",2026,1.0,1,곳,가다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"한국에서 꼭 가봐야 할 곳이며, 전통 한복을 입으면 더욱 좋습니다.",2026,1.0,1,한복,좋다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"한복을 입고 거닐면 한국 문화에 더욱 깊이 몰입할 수 있고, 사진 찍기에도 더할 나위 없이 좋은 곳입니다.",2026,1.0,2,문화,몰입하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"한복을 입고 거닐면 한국 문화에 더욱 깊이 몰입할 수 있고, 사진 찍기에도 더할 나위 없이 좋은 곳입니다.",2026,1.0,2,사진,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"한복을 입고 거닐면 한국 문화에 더욱 깊이 몰입할 수 있고, 사진 찍기에도 더할 나위 없이 좋은 곳입니다.",2026,1.0,2,곳,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,한복을 입고 이곳저곳을 둘러보는 것은 한국 여행을 더욱 의미 있고 기억에 남게 해 줄 것입니다.,2026,1.0,3,여행,의미있다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,한복을 입고 이곳저곳을 둘러보는 것은 한국 여행을 더욱 의미 있고 기억에 남게 해 줄 것입니다.,2026,1.0,3,여행,남다,1. 전반적 인식,종합 만족도,긍정
