작성일,평점,리뷰번역,연도,월,문장_번호,aspect,predicate,대분류,소분류,감성
1달 전,별표 4개,분위기는 활기차고 상점과 노점상도 많아요.,2026,1.0,1,분위기,활기차다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 4개,분위기는 활기차고 상점과 노점상도 많아요.,2026,1.0,1,상점,많다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 4개,분위기는 활기차고 상점과 노점상도 많아요.,2026,1.0,1,노점상,많다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 4개,하지만 관광지라는 느낌이 강하게 드네요.,2026,1.0,2,느낌,강하다,1. 전반적 인식,종합 만족도,중립
1달 전,별표 4개,"정말 흥미로운 점은, 뷰티 제품들은 종류가 정말 다양했는데, 코로나 이후로 많은 것이 바뀌었고, 제품 종류가 줄어들었다는 거예요.",2026,1.0,1,점,흥미롭다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 4개,"정말 흥미로운 점은, 뷰티 제품들은 종류가 정말 다양했는데, 코로나 이후로 많은 것이 바뀌었고, 제품 종류가 줄어들었다는 거예요.",2026,1.0,1,종류,다양하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,"정말 흥미로운 점은, 뷰티 제품들은 종류가 정말 다양했는데, 코로나 이후로 많은 것이 바뀌었고, 제품 종류가 줄어들었다는 거예요.",2026,1.0,1,것,바뀌다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 4개,"정말 흥미로운 점은, 뷰티 제품들은 종류가 정말 다양했는데, 코로나 이후로 많은 것이 바뀌었고, 제품 종류가 줄어들었다는 거예요.",2026,1.0,1,종류,줄어들다,4. 활동 및 서비스,체험 콘텐츠,부정
1달 전,별표 4개,"정말 흥미로운 점은, 뷰티 제품들은 종류가 정말 다양했는데, 코로나 이후로 많은 것이 바뀌었고, 제품 종류가 줄어들었다는 거예요.",2026,1.0,2,점,흥미롭다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 4개,"정말 흥미로운 점은, 뷰티 제품들은 종류가 정말 다양했는데, 코로나 이후로 많은 것이 바뀌었고, 제품 종류가 줄어들었다는 거예요.",2026,1.0,2,종류,다양하다,4. 활동 및 서비스,체험 콘텐츠,부정
1달 전,별표 4개,"정말 흥미로운 점은, 뷰티 제품들은 종류가 정말 다양했는데, 코로나 이후로 많은 것이 바뀌었고, 제품 종류가 줄어들었다는 거예요.",2026,1.0,2,것,바뀌다,4. 활동 및 서비스,체험 콘텐츠,부정
1달 전,별표 4개,"정말 흥미로운 점은, 뷰티 제품들은 종류가 정말 다양했는데, 코로나 이후로 많은 것이 바뀌었고, 제품 종류가 줄어들었다는 거예요.",2026,1.0,2,종류,줄어들다,4. 활동 및 서비스,체험 콘텐츠,부정
1달 전,별표 3개,평일이든 주말이든 밤마다 엄청나게 붐벼요.,2026,1.0,1,밤,붐비다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 3개,길가에는 음식과 물건을 파는 노점상들이 줄지어 있어요.,2026,1.0,2,노점상,줄지어 있다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 3개,"음식과 음료는 비슷한 종류를 반복해서 파는 경향이 있지만, 확실히 더 맛있어 보이는 노점상도 있어요.",2026,1.0,3,종류,비슷하다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 3개,"음식과 음료는 비슷한 종류를 반복해서 파는 경향이 있지만, 확실히 더 맛있어 보이는 노점상도 있어요.",2026,1.0,3,노점상,맛있어 보이다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,서울에서 꼭 방문해야 할 명동 보행자 거리는 먹거리와 쇼핑을 즐길 수 있는 활기 넘치는 상업 지구입니다.,2026,1.0,1,상업 지구,활기 넘치다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 4개,"밤이 되면 닭튀김, 떡볶이, 어묵 등 다양한 먹거리의 군침 도는 냄새가 거리를 가득 채우지만, 가격이 다소 높은 편이니 참고하세요.",2026,1.0,2,먹거리,다양하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,"밤이 되면 닭튀김, 떡볶이, 어묵 등 다양한 먹거리의 군침 도는 냄새가 거리를 가득 채우지만, 가격이 다소 높은 편이니 참고하세요.",2026,1.0,2,냄새,군침 돌다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,"밤이 되면 닭튀김, 떡볶이, 어묵 등 다양한 먹거리의 군침 도는 냄새가 거리를 가득 채우지만, 가격이 다소 높은 편이니 참고하세요.",2026,1.0,2,냄새,채우다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,"밤이 되면 닭튀김, 떡볶이, 어묵 등 다양한 먹거리의 군침 도는 냄새가 거리를 가득 채우지만, 가격이 다소 높은 편이니 참고하세요.",2026,1.0,2,가격,높다,4. 활동 및 서비스,체험 콘텐츠,부정
1달 전,별표 4개,낮에는 수많은 화장품과 트렌디한 브랜드 매장이 즐비한 쇼핑 천국입니다.,2026,1.0,3,화장품,수많다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,낮에는 수많은 화장품과 트렌디한 브랜드 매장이 즐비한 쇼핑 천국입니다.,2026,1.0,3,매장,즐비하다,3. 시설 및 환경,공간 관리 상태,긍정
1달 전,별표 4개,세금 환급도 편리하지만 면세점만큼 저렴하지는 않을 수 있습니다.,2026,1.0,4,세금 환급,편리하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 4개,세금 환급도 편리하지만 면세점만큼 저렴하지는 않을 수 있습니다.,2026,1.0,4,세금 환급,저렴하다,4. 활동 및 서비스,체험 콘텐츠,부정
1달 전,별표 4개,특히 주말에는 거리가 매우 혼잡하므로 평일 저녁에 방문하는 것을 추천합니다.,2026,1.0,5,거리,혼잡하다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 4개,"한국 대중문화의 활기 넘치는 분위기를 만끽할 수 있지만, 예산 계획은 필수입니다.",2026,1.0,6,분위기,활기 넘치다,1. 전반적 인식,종합 만족도,긍정
